family,AUC-PR,AUC-ROC
CATSv2,0.1985,0.7136
CreditCard,0.1472,0.9523
Daphnet,0.2118,0.8294
Exathlon,0.9508,0.9963
GECCO,0.4545,0.9269
GHL,0.0165,0.5924
Genesis,0.0297,0.9185
LTDB,0.3356,0.6621
MITDB,0.1656,0.6814
MSL,0.1161,0.6902
OPPORTUNITY,0.2716,0.9459
PSM,0.4071,0.7874
SMAP,0.1461,0.6771
SMD,0.3959,0.8533
SVDB,0.2161,0.6798
SWaT,0.5163,0.7981
TAO,0.9963,0.9989
